,Subject,maxBurst_SHA01,meanInterval_SHA01,meanNumRewards_SHA01,modeInterval_SHA01,numBurst_SHA01,pctRewards_SHA01,stdInterval_SHA01,maxBurst_SHA02,meanInterval_SHA02,meanNumRewards_SHA02,modeInterval_SHA02,numBurst_SHA02,pctRewards_SHA02,stdInterval_SHA02,maxBurst_SHA03,meanInterval_SHA03,meanNumRewards_SHA03,modeInterval_SHA03,numBurst_SHA03,pctRewards_SHA03,stdInterval_SHA03,maxBurst_SHA04,meanInterval_SHA04,meanNumRewards_SHA04,modeInterval_SHA04,numBurst_SHA04,pctRewards_SHA04,stdInterval_SHA04,maxBurst_SHA05,meanInterval_SHA05,meanNumRewards_SHA05,modeInterval_SHA05,numBurst_SHA05,pctRewards_SHA05,stdInterval_SHA05,maxBurst_SHA06,meanInterval_SHA06,meanNumRewards_SHA06,modeInterval_SHA06,numBurst_SHA06,pctRewards_SHA06,stdInterval_SHA06,maxBurst_SHA07,meanInterval_SHA07,meanNumRewards_SHA07,modeInterval_SHA07,numBurst_SHA07,pctRewards_SHA07,stdInterval_SHA07,maxBurst_SHA08,meanInterval_SHA08,meanNumRewards_SHA08,modeInterval_SHA08,numBurst_SHA08,pctRewards_SHA08,stdInterval_SHA08,maxBurst_SHA09,meanInterval_SHA09,meanNumRewards_SHA09,modeInterval_SHA09,numBurst_SHA09,pctRewards_SHA09,stdInterval_SHA09,maxBurst_SHA10,meanInterval_SHA10,meanNumRewards_SHA10,modeInterval_SHA10,numBurst_SHA10,pctRewards_SHA10,stdInterval_SHA10,maxBurst_SHA11,meanInterval_SHA11,meanNumRewards_SHA11,modeInterval_SHA11,numBurst_SHA11,pctRewards_SHA11,stdInterval_SHA11
0,F801,2.0,786.44,2.0,66.0,2.0,40.0,1134.91,3.0,351.65,2.14,61.0,7.0,71.0,524.54,2.0,185.25,2.0,111.0,11.0,59.0,136.96,3.0,209.24,2.22,61.0,9.0,59.0,158.38,2.0,472.31,2.0,88.0,3.0,43.0,380.63,3.0,286.12,2.25,231.0,4.0,35.0,196.84,3.0,259.3,3.0,203.0,1.0,11.0,128.14,3.0,242.83,2.5,266.0,2.0,17.0,101.96,3.0,223.68,2.25,62.0,4.0,28.000000000000004,112.77,4.0,179.26,2.33,141.0,6.0,35.0,88.82,,,,,,,
1,F802,0.0,2198.33,0.0,3217.0,0.0,0.0,1124.13,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,3.0,156.04,2.2,33.0,10.0,79.0,130.32,4.0,212.67,2.4,125.0,10.0,71.0,196.52,,,,,,,
2,F803,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,2683.0,0.0,2683.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,1353.67,2.0,1560.0,1.0,50.0,983.74,2.0,803.5,2.0,28.0,1.0,40.0,615.22,0.0,,0.0,,0.0,,,0.0,1405.0,0.0,2044.0,0.0,0.0,639.0,0.0,2256.0,0.0,2256.0,0.0,0.0,0.0,,,,,,,
3,F804,0.0,,0.0,,0.0,0.0,,2.0,2033.33,2.0,25.0,1.0,50.0,1424.67,0.0,,0.0,,0.0,0.0,,2.0,1403.5,2.0,57.0,1.0,67.0,1346.5,0.0,3036.0,0.0,3036.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,1313.5,0.0,1531.0,0.0,0.0,217.5,2.0,713.5,2.0,563.0,1.0,40.0,454.27,,,,,,,
4,F805,0.0,,0.0,,0.0,,,3.0,51.0,3.0,35.0,1.0,75.0,22.63,4.0,277.28,3.0,21.0,5.0,79.0,461.01,3.0,617.75,2.33,79.0,3.0,78.0,889.48,0.0,,0.0,,0.0,0.0,,3.0,281.96,2.33,27.0,9.0,84.0,367.85,3.0,203.73,2.1,31.0,10.0,62.0,147.46,4.0,240.17,2.67,24.0,6.0,53.0,317.01,4.0,130.4,2.26,54.0,19.0,80.0,109.57,5.0,143.71,2.25,23.0,12.0,54.0,91.08,,,,,,,
5,F806,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,4004.0,0.0,4004.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,
6,F807,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,6800.0,0.0,6800.0,0.0,0.0,0.0,,,,,,,
7,F808,0.0,,0.0,,0.0,,,0.0,1729.5,0.0,1793.0,0.0,0.0,63.5,3.0,1190.75,3.0,3676.0,1.0,60.0,1483.36,2.0,1198.0,2.0,94.0,1.0,67.0,1104.0,0.0,3326.0,0.0,3326.0,0.0,0.0,0.0,2.0,1636.75,2.0,231.0,1.0,40.0,1822.62,3.0,343.5,2.14,51.0,7.0,79.0,494.09,2.0,851.83,2.0,39.0,2.0,56.99999999999999,1338.24,2.0,347.16,2.0,36.0,4.0,40.0,302.62,2.0,600.91,2.0,71.0,1.0,17.0,471.72,,,,,,,
8,F809,2.0,1504.0,2.0,21.0,1.0,50.0,1049.39,0.0,4179.0,0.0,4179.0,0.0,0.0,0.0,3.0,27.0,3.0,30.0,1.0,100.0,3.0,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,2.0,1221.2,2.0,113.0,1.0,33.0,1224.53,2.0,2475.0,2.0,21.0,1.0,67.0,2454.0,2.0,1336.67,2.0,20.0,1.0,50.0,989.1,3.0,544.0,2.5,36.0,2.0,56.00000000000001,868.99,2.0,488.45,2.0,79.0,5.0,83.0,726.76,,,,,,,
9,F810,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,,,,
