,subject,rfid
0,F1,933000120124701
1,F2,933000120124703
2,F3,933000120117342
3,F4,933000120117333
4,F5,933000120117347
5,F6,933000120117349
6,F7,933000120117340
7,F8,933000120117351
8,F9,933000120117341
9,F10,933000120117334
10,F11,933000120117343
11,F12,933000120117355
12,F13,933000120117346
13,F14,933000120124699
14,F15,933000120124700
15,F16,933000120124697
16,F18,933000120124704
17,F26,933000120117313
18,F19,933000120117306
19,F20,933000120117312
20,F21,933000120117311
21,F22,933000120117329
22,F23,933000120117323
23,M1,933000120124705
24,M2,933000120117338
25,M7,933000120117348
26,M8,933000120117345
27,M13,933000120117352
28,M14,933000120117335
29,M21,933000120117344
30,M22,933000120117332
31,M27,933000120117339
32,M28,933000120117350
33,M31,933000120117331
34,M34,933000120117336
35,M50,933000120124696
36,M51,933000120124698
37,M54,933000120117318
38,M55,933000120117321
39,M58,933000120117320
40,M59,933000120117325
41,M61,933000120117307
42,M62,933000120117322
43,M65,933000120117324
44,M66,933000120117308
45,M69,933000120117326
46,M24,933000120117310
47,M25,933000120117309
48,M70,933000120117327
49,M95,933000120117330
50,M96,933000120117315
51,F78,933000120138279
52,F79,933000120138271
53,F82,933000120138353
54,F83,933000120138340
55,F84,933000120138331
56,F85,933000120138335
57,F86,933000120138341
58,F87,933000120138338
59,F88,933000120138343
60,F89,933000120138354
61,F90,933000120138351
62,F105,933000120138282
63,F92,933000120138316
64,F93,933000120138306
65,F96,933000120138293
66,F97,933000120138285
67,F98,933000120138295
68,F99,933000120138287
69,F100,933000120138305
70,F101,933000120138296
71,F102,933000120138304
72,F103,933000120138286
73,F104,933000120138300
74,M153,933000120138349
75,M154,933000120138347
76,M155,933000120138336
77,M156,933000120138280
78,M160,933000120138344
79,M161,933000120138334
80,M162,933000120138332
81,M163,933000120138342
82,M164,933000120138346
83,M165,933000120138339
84,M166,933000120138348
85,M167,933000120138333
86,M168,933000120138322
87,M169,933000120138321
88,M170,933000120138330
89,M171,933000120138324
90,M172,933000120138289
91,M173,933000120138288
92,M174,933000120138283
93,M175,933000120138291
