rfid,rat,cohort,drug group
933000120124701,F1,1,Cocaine
933000120124703,F2,1,Cocaine
933000120117342,F3,1,Cocaine
933000120117333,F4,1,Cocaine
933000120117347,F5,1,Cocaine
933000120117349,F6,1,Cocaine
933000120117340,F7,1,Cocaine
933000120117351,F8,1,Cocaine
933000120117341,F9,1,Cocaine
933000120117334,F10,1,Cocaine
933000120117343,F11,1,Cocaine
933000120117355,F12,1,Cocaine
933000120117346,F13,1,Cocaine
933000120124699,F14,1,Cocaine
933000120124700,F15,1,Cocaine
933000120124697,F16,1,Cocaine
933000120124704,F18,1,Cocaine
933000120117313,F26,1,Cocaine
933000120117306,F19,1,Cocaine
933000120117312,F20,1,Cocaine
933000120117311,F21,1,Cocaine
933000120117329,F22,1,Cocaine
933000120117323,F23,1,Cocaine
933000120124705,M1,1,Cocaine
933000120117338,M2,1,Cocaine
933000120117348,M7,1,Cocaine
933000120117345,M8,1,Cocaine
933000120117352,M13,1,Cocaine
933000120117335,M14,1,Cocaine
933000120117344,M21,1,Cocaine
933000120117332,M22,1,Cocaine
933000120117339,M27,1,Cocaine
933000120117350,M28,1,Cocaine
933000120117331,M31,1,Cocaine
933000120117336,M34,1,Cocaine
933000120124696,M50,1,Cocaine
933000120124698,M51,1,Cocaine
933000120117318,M54,1,Cocaine
933000120117321,M55,1,Cocaine
933000120117320,M58,1,Cocaine
933000120117325,M59,1,Cocaine
933000120117307,M61,1,Cocaine
933000120117322,M62,1,Cocaine
933000120117324,M65,1,Cocaine
933000120117308,M66,1,Cocaine
933000120117326,M69,1,Cocaine
933000120117310,M24,1,Cocaine
933000120117309,M25,1,Cocaine
933000120117327,M70,1,Cocaine
933000120117330,M95,1,Cocaine
933000120117315,M96,1,Cocaine
933000120138279,F78,2,Cocaine
933000120138271,F79,2,Cocaine
933000120138353,F82,2,Cocaine
933000120138340,F83,2,Cocaine
933000120138331,F84,2,Cocaine
933000120138335,F85,2,Cocaine
933000120138341,F86,2,Cocaine
933000120138338,F87,2,Cocaine
933000120138343,F88,2,Cocaine
933000120138354,F89,2,Cocaine
933000120138351,F90,2,Cocaine
933000120138282,F105,2,Cocaine
933000120138316,F92,2,Cocaine
933000120138306,F93,2,Cocaine
933000120138293,F96,2,Cocaine
933000120138285,F97,2,Cocaine
933000120138295,F98,2,Cocaine
933000120138287,F99,2,Cocaine
933000120138305,F100,2,Cocaine
933000120138296,F101,2,Cocaine
933000120138304,F102,2,Cocaine
933000120138286,F103,2,Cocaine
933000120138300,F104,2,Cocaine
933000120138349,M153,2,Cocaine
933000120138347,M154,2,Cocaine
933000120138336,M155,2,Cocaine
933000120138280,M156,2,Cocaine
933000120138344,M160,2,Cocaine
933000120138334,M161,2,Cocaine
933000120138332,M162,2,Cocaine
933000120138342,M163,2,Cocaine
933000120138346,M164,2,Cocaine
933000120138339,M165,2,Cocaine
933000120138348,M166,2,Cocaine
933000120138333,M167,2,Cocaine
933000120138322,M168,2,Cocaine
933000120138321,M169,2,Cocaine
933000120138330,M170,2,Cocaine
933000120138324,M171,2,Cocaine
933000120138289,M172,2,Cocaine
933000120138288,M173,2,Cocaine
933000120138283,M174,2,Cocaine
933000120138291,M175,2,Cocaine
933000120138302,M176,2,Cocaine
933000120138281,M177,2,Cocaine
933000120138298,M178,2,Cocaine
933000120138352,F79-1,2,Cocaine
933000120138337,F80,2,Cocaine
933000120138327,F106,2,Cocaine
933000120138308,F107,2,Cocaine
933000120138309,F108,2,Cocaine
933000120138318,F109,2,Cocaine
933000120138345,M156-1,2,Cocaine
933000120138355,M157,2,Cocaine
933000120138294,M179,2,Cocaine
933000120138292,M180,2,Cocaine
933000120138301,M181,2,Cocaine
933000120138326,M182,2,Cocaine
933000120138317,M183,2,Cocaine
933000120138578,F301,3,Cocaine
933000120138568,F302,3,Cocaine
933000120138400,F303,3,Cocaine
933000120138403,F304,3,Cocaine
933000120138386,F305,3,Cocaine
933000120138398,F306,3,Cocaine
933000120138579,F307,3,Cocaine
933000120138561,F308,3,Cocaine
933000120138648,F309,3,Cocaine
933000120138642,F310,3,Cocaine
933000120138559,F311,3,Cocaine
933000120138556,F312,3,Cocaine
933000120138647,F313,3,Cocaine
933000120138652,F314,3,Cocaine
933000120138634,F315,3,Cocaine
933000120138633,F316,3,Cocaine
933000120138637,F317,3,Cocaine
933000120138650,F318,3,Cocaine
933000120138644,F319,3,Cocaine
933000120138631,F320,3,Cocaine
933000120138654,F321,3,Cocaine
933000120138632,F322,3,Cocaine
933000120138388,F323,3,Cocaine
933000120138649,M351,3,Cocaine
933000120138646,M352,3,Cocaine
933000120138575,M353,3,Cocaine
933000120138558,M354,3,Cocaine
933000120138645,M355,3,Cocaine
933000120138638,M356,3,Cocaine
933000120138655,M357,3,Cocaine
933000120138636,M358,3,Cocaine
933000120138394,M359,3,Cocaine
933000120138389,M360,3,Cocaine
933000120138557,M361,3,Cocaine
933000120138573,M362,3,Cocaine
933000120138577,M363,3,Cocaine
933000120138569,M364,3,Cocaine
933000120138639,M365,3,Cocaine
933000120138384,M366,3,Cocaine
933000120138397,M367,3,Cocaine
933000120138385,M368,3,Cocaine
933000120138643,M369,3,Cocaine
933000120138640,M370,3,Cocaine
933000120138395,M371,3,Cocaine
933000120138401,M372,3,Cocaine
933000120138564,M373,3,Cocaine
933000120138580,M374,3,Cocaine
933000120138653,M375,3,Cocaine
933000120138635,M376,3,Cocaine
933000120138563,M377,3,Cocaine
933000120138576,M378,3,Cocaine
933000120138392,M379,3,Cocaine
933000120138382,M380,3,Cocaine
933000120138381,F324,3,Cocaine
933000120138562,F325,3,Cocaine
933000120138567,F326,3,Cocaine
933000120138571,F327,3,Cocaine
933000120138574,F328,3,Cocaine
933000120138565,F329,3,Cocaine
933000120138570,F330,3,Cocaine
933000120138679,F401,4,Cocaine
933000120138591,F402,4,Cocaine
933000120138391,F403,4,Cocaine
933000120138660,F404,4,Cocaine
933000120138604,F405,4,Cocaine
933000120138582,F406,4,Cocaine
933000120138594,F407,4,Cocaine
933000120138619,F408,4,Cocaine
933000120138675,F409,4,Cocaine
933000120138674,F410,4,Cocaine
933000120138677,F411,4,Cocaine
933000120138666,F412,4,Cocaine
933000120138663,F413,4,Cocaine
933000120138583,F424,4,Cocaine
933000120138387,F415,4,Cocaine
933000120138405,F416,4,Cocaine
933000120138390,F417,4,Cocaine
933000120138396,F418,4,Cocaine
933000120138605,F419,4,Cocaine
933000120138596,F420,4,Cocaine
933000120138680,F421,4,Cocaine
933000120138672,F422,4,Cocaine
933000120138585,F423,4,Cocaine
933000120138584,M451,4,Cocaine
933000120138601,M452,4,Cocaine
933000120138665,M453,4,Cocaine
933000120138669,M454,4,Cocaine
933000120138662,M455,4,Cocaine
933000120138661,M456,4,Cocaine
933000120138589,M457,4,Cocaine
933000120138629,M458,4,Cocaine
933000120138598,M459,4,Cocaine
933000120138603,M460,4,Cocaine
933000120138657,M461,4,Cocaine
933000120138670,M462,4,Cocaine
933000120138402,M463,4,Cocaine
933000120138671,M464,4,Cocaine
933000120138393,M465,4,Cocaine
933000120138399,M466,4,Cocaine
933000120138592,M467,4,Cocaine
933000120138599,M468,4,Cocaine
933000120138668,M469,4,Cocaine
933000120138667,M470,4,Cocaine
933000120138656,M471,4,Cocaine
933000120138673,M472,4,Cocaine
933000120138600,M473,4,Cocaine
933000120138587,M474,4,Cocaine
933000120138676,M475,4,Cocaine
933000120138658,M476,4,Cocaine
933000120138595,M477,4,Cocaine
933000120138586,M478,4,Cocaine
933000120138404,M479,4,Cocaine
933000120138383,M480,4,Cocaine
933000120138588,F425,4,Cocaine
933000120138602,F426,4,Cocaine
933000120138581,F427,4,Cocaine
933000120138664,F428,4,Cocaine
933000120138659,F429,4,Cocaine
933000120138597,F430,4,Cocaine
933000120138494,F501,5,Cocaine
933000120138496,F502,5,Cocaine
933000120138690,F503,5,Cocaine
933000120138682,F504,5,Cocaine
933000120138686,F505,5,Cocaine
933000120138684,F506,5,Cocaine
933000120138623,F507,5,Cocaine
933000120138424,F508,5,Cocaine
933000120138611,F509,5,Cocaine
933000120138630,F510,5,Cocaine
933000120138412,F511,5,Cocaine
933000120138607,F512,5,Cocaine
933000120138687,F532,5,Cocaine
933000120138406,F514,5,Cocaine
933000120138411,F515,5,Cocaine
933000120138432,F516,5,Cocaine
933000120138726,F517,5,Cocaine
933000120138410,F518,5,Cocaine
933000120138712,F519,5,Cocaine
933000120138722,F520,5,Cocaine
933000120138711,F521,5,Cocaine
933000120138715,F522,5,Cocaine
933000120138754,F523,5,Cocaine
933000120138743,F524,5,Cocaine
933000120138732,F525,5,Cocaine
933000120138748,F526,5,Cocaine
933000120138454,F527,5,Cocaine
933000120138707,F528,5,Cocaine
933000120138447,F529,5,Cocaine
933000120138440,F530,5,Cocaine
933000120138504,M551,5,Cocaine
933000120138500,M552,5,Cocaine
933000120138700,M553,5,Cocaine
933000120138689,M554,5,Cocaine
933000120138696,M555,5,Cocaine
933000120138698,M556,5,Cocaine
933000120138615,M557,5,Cocaine
933000120138609,M558,5,Cocaine
933000120138616,M559,5,Cocaine
933000120138627,M560,5,Cocaine
933000120138415,M561,5,Cocaine
933000120138420,M562,5,Cocaine
933000120138414,M563,5,Cocaine
933000120138417,M564,5,Cocaine
933000120138427,M565,5,Cocaine
933000120138434,M566,5,Cocaine
933000120138407,M567,5,Cocaine
933000120138409,M568,5,Cocaine
933000120138724,M569,5,Cocaine
933000120138436,M570,5,Cocaine
933000120138717,M571,5,Cocaine
933000120138708,M572,5,Cocaine
933000120138730,M573,5,Cocaine
933000120138718,M574,5,Cocaine
